Banks,Branch,Code,Country,Town,
FCB,Redcliff,2539,ZIMBABWE,Redcliff,
FCB,Robert Mugabe Road,2121,ZIMBABWE,Harare,
FCB,Small Bussines Centre,2156,ZIMBABWE,Harare,
FCB,Non Resident,2197,ZIMBABWE,Harare,
FCB,University,2153,ZIMBABWE,Harare,
FCB,Victoria Falls,2598,ZIMBABWE,Victoria Falls,
FCB,Westgate,2119,ZIMBABWE,Harare,
FCB,Norton,2548,ZIMBABWE,Harare,
FCB,West End,2191,ZIMBABWE,Harare,
FCB,Kadoma,2510,ZIMBABWE,Kadoma,
FCB,Msasa,2186,Zimbabwe,Harare,
FCB,Pearl House,2144,ZIMBABWE,Harare,
FCB,Cash Depot,2154,ZIMBABWE,Harare,
FCB,Barclays Card,2155,ZIMBABWE,Harare,
FCB,Bulawayo Operations Centre,2160,ZIMBABWE,Bulawayo,
FCB,Finance Department,2171,ZIMBABWE,Harare,
FCB,Triangle,2192,ZIMBABWE,Triangle,
FCB,Beitbridge,2193,ZIMBABWE,Beitbridge,
FCB,Chiredzi,2195,ZIMBABWE,Chiredzi,
FCB,Barclays,2100,,Harare,
FCB,Gwanda,2519,,Gwanda,
FCB,Harare Airport,2529,,Harare,
FCB,Hwange,2535,,Hwange,
FCB,Kariba,2536,,Kariba,
FCB,Triangle,2592,,Triangle,
FCB,Karoi,2594,,Karoi,
FCB,Chipinge,2596,,Chipinge,
BBS,Head Office,20020,Zimbabwe,Harare,
CBZ,Harare,27000,Zimbabwe,Harare,
CBZ,Longcheng Plaza,6133,Zimbabwe,Harare,
CBZ,IPU,6000,ZIMBABWE,Harare,
CBZ,Harare Cash Depot,6122,ZIMBABWE,Harare,
CBZ,Chipinge,6523,ZIMBABWE,Chipinge,
CBZ,Rusape,6527,ZIMBABWE,Rusape,
CBZ,Victoria Falls,6529,ZIMBABWE,Victoria Falls,
CBZ,Bulawayo Cash Depot,6701,ZIMBABWE,Bulawayo,
CBZ,Borrowdale,6116,ZIMBABWE,Harare,
CBZ,Gokwe,6507,Zimbabwe,Gokwe,
CBZ,Kaguvi Street,6112,ZIMBABWE,Harare,
CBZ,Masvingo,6509,Zimbabwe,Masvingo,
CBZ,Selous Avenue,6109,Zimbabwe,Harare,
CBZ,Julius Nyerere,6103,ZIMBABWE,Harare,
CBZ,Chiredzi,6510,Zimbabwe,Chiredzi,
CBZ,Borrowdale,6117,ZIMBABWE,Harare,
CBZ,Eighth Avenue Bulawayo,6302,Zimbabwe,Bulawayo,
CBZ,Chitungwiza Main,6504,Zimbabwe,Harare,
CBZ,Kariba,6511,Zimbabwe,Kariba,
CBZ,Gweru,6508,ZIMBABWE,Gweru,
CBZ,Highfield/Boka Agency,6107,ZIMBABWE,Harare,BOKA TOBACCO SALES FLOOR
CBZ,Kwekwe,6503,ZIMBABWE,Kwekwe,
CBZ,Bindura,6506,ZIMBABWE,Bindura,
CBZ,Mhangura,6512,ZIMBABWE,Mhangura,
CBZ,Mutare Main,6505,Zimbabwe,Mutare,
CBZ,Marondera,6514,Zimbabwe,Marondera,
CBZ,Sapphire House,6120,ZIMBABWE,Harare,
CBZ,Southerton/TSF Agency,6110,Zimbabwe,Harare,
CBZ,Kwame Nkrumah Avenue,6101,ZIMBABWE,Harare,
CBZ,Westgate,6118,ZIMBABWE,Harare,
CBZ,Chinhoyi,6517,ZIMBABWE,Chinhoyi,
CBZ,Chivhu,6515,ZIMBABWE,Chivhu,
CBZ,Karoi,6519,ZIMBABWE,Karoi,
CBZ,Head Office,6100,ZIMBABWE,Harare,
CBZ,Wealth Management,6115,ZIMBABWE,Harare,
CBZ,Beitbridge,6513,ZIMBABWE,Beitbridge,
CBZ,Belmont,6303,ZIMBABWE,Bulawayo,
CBZ,Cripps Road,6105,ZIMBABWE,Harare,
CBZ,Retail Banking,6130,ZIMBABWE,Harare,
CBZ,Chegutu,6516,ZIMBABWE,Chegutu,
CBZ,ABC Harare,6128,Zimbabwe,Harare,
CBZ,Tsholotsho,6310,Zimbabwe,Tsholotsho,
CBZ,Chitungwiza Town Centre,6501,Zimbabwe,Harare,
CBZ,Muzarabani,6522,Zimbabwe,Muzarabani,
CBZ,Chirundu,6524,Zimbabwe,Chirundu,
CBZ,Murehwa,6526,Zimbabwe,Murehwa,
CBZ,Chimanimani,6531,Zimbabwe,Chimanimani,
CBZ,Nyika,6534,Zimbabwe,Nyika,
CBZ,Nembudziya,6539,Zimbabwe,Nembudziya,
CBZ,Checheche,6541,Zimbabwe,Checheche,
CBZ,ROBERT MUGABE,6114,ZIMBABWE,Harare,
CBZ,CBZ BS HARARE,6125,ZIMBABWE,Harare,
CBZ,MSASA BRANCH,6126,ZIMBABWE,Harare,
CBZ,NEWLANDS BRANCH,6129,ZIMBABWE,Harare,
CBZ,BULAWAYO MAIN STREET,6305,ZIMBABWE,Bulawayo,
CBZ,BULAWAYO FIFE STREET,6307,ZIMBABWE,Bulawayo,
CBZ,GUTU BRANCH,6520,ZIMBABWE,Gutu,
CBZ,MUTARE HERBERT CHITEPO STRE,6521,ZIMBABWE,Mutare,
CBZ,GWANDA BRANCH,6525,ZIMBABWE,Gwanda,
CBZ,KADOMA BRANCH,6530,ZIMBABWE,Kadoma,
CBZ,NYANGA BRANCH,6533,ZIMBABWE,Nyanga,
CBZ,ZVISHAVANE BRANCH,6535,ZIMBABWE,Zvishavane,
CBZ,NORTON BRANCH,6537,ZIMBABWE,Norton,
CBZ,Jewel,6104,ZIMBABWE,Harare,
CBZ,Samora Machel Avenue,6111,ZIMBABWE,Harare,
CBZ,Redcliff,6518,ZIMBABWE,Redcliff,"Stand Number 482, Redcliff"
CABS,Harare,24000,ZIMBABWE,Harare,
ECO,Harare,26000,ZIMBABWE,Harare,
FBC,Chitungwiza,8122,Zimbabwe,Harare,
FBC,byo Private,8317,Zimbabwe,Bulawayo,byo Private
FBC,First Vic Falls,8519,Zimbabwe,Victoria Falls,First Vic Falls
FBC,Central processing centre,8315,Zimbabwe,Harare,Harare
FBC,Mutare,8309,Zimbabwe,Mutare,Mutare
FBC,Zvishavane,8308,Zimbabwe,Zvishavane,Zvishavane
FBC,Batanai Garden,8306,Zimbabwe,Harare,Batanai Garden Harare
FBC,Borrowdale,8127,Zimbabwe,Harare,Stand Number 585 Borrowdale
FBC,Batanai Gardens,8106,ZIMBABWE,Harare,
FBC,Msasa,8121,ZIMBABWE,Harare,
FBC,Harare Private Bank,8104,ZIMBABWE,Harare,
FBC,Gweru,8510,ZIMBABWE,Gweru,
FBC,Kwekwe,8513,ZIMBABWE,Kwekwe,
FBC,Masvingo,8514,ZIMBABWE,Masvingo,
FBC,Mutare,8509,ZIMBABWE,Mutare,
FBC,Victoria Falls,8512,ZIMBABWE,Victoria Falls,
FBC,Southerton,8103,ZIMBABWE,Harare,
FBC,Nelson Mandela Avenue,8102,ZIMBABWE,Harare,
FBC,Jason Moyo Bulawayo,8305,ZIMBABWE,Bulawayo,
FBC,Zvishavane,8508,ZIMBABWE,Zvishavane,
FBC,Chinhoyi,8511,ZIMBABWE,Chinhoyi,
FBC,Samora Machel Avenue,8101,ZIMBABWE,Harare,
FBC,FBC Centre,8120,ZIMBABWE,Harare,
FBC,Central Processing Centre,8115,ZIMBABWE,Harare,
GB,Head Office,33000,ZIMBABWE,Harare,"5 Central Avenue, Harare"
IBS,Head Office,22022,Zimbabwe,Harare,
MET,Masvingo,9506,ZIMBABWE,Masvingo,"Masvingo Polytechnic Campus, Beitbridge Road"
MET,Victoria Falls,9501,Zimbabwe,Victoria Falls,Victoria Falls
MET,Head Office,9100,ZIMBABWE,Harare,
MET,Sam Nujoma,9106,ZIMBABWE,Harare,
MET,Kwame Nkrumah,9107,ZIMBABWE,Harare,
MET,Southerton,9108,ZIMBABWE,Harare,
MET,Mutare,9504,ZIMBABWE,Mutare,
MET,Harare Poly,9105,Zimbabwe,Harare,
MET,Victoria Falls,9301,ZIMBABWE,Victoria Falls,
MET,Belgravia,9103,ZIMBABWE,Harare,
MET,Main Street,9201,ZIMBABWE,Bulawayo,
MET,Main,9101,ZIMBABWE,Harare,
MET,Machipisa,9104,ZIMBABWE,Harare,
MET,Chitungwiza,9503,ZIMBABWE,Harare,
MET,Murewa,9502,ZIMBABWE,Murewa,
MET,Five Avenue,9102,ZIMBABWE,Harare,
MET,Chipinge,9509,ZIMBABWE,Chipinge,"ZIMPOST Chipinge, Stand Number 274"
MET,Masvingo Main,9518,Zimbabwe,Masvingo,
MET,Mbare,9109,Zimbabwe,Harare,
MET,Mutoko,9507,Zimbabwe,Mutoko,
MET,Bubi,9510,Zimbabwe,Bubi,
MET,Gweru,9512,Zimbabwe,Gweru,
MET,Chinhoyi,9513,Zimbabwe,Chinhoyi,
MET,Gwanda,9514,Zimbabwe,Gwanda,
MET,Chitungwiza Makoni,9517,Zimbabwe,Harare,
MET,Kwekwe,9508,ZIMBABWE,Kwekwe,"Kwekwe Polytechnic Campus, Railway Road"
MET,Hotsprings,9505,ZIMBABWE,Hotsprings,
MET,Beitbridge,9511,Zimbabwe,Beitbridge,"40/41 Living Waters Complex, Stand 449, Beitbridge"
NBS,Head Office Harare,32100,Zimbabwe,Harare,"14th Floor Social Security Centre,Cnr Sam Nujoma Street,Selous Avenue"
NED,Mutare,18503,ZIMBABWE,Mutare,
NED,Zvishavane,18506,ZIMBABWE,Zvishavane,100 Ireland Road
NED,Kwekwe,18508,Zimbabwe,Kwekwe,28B Nelson Mandela
NED,Leopold Takawira,18305,Zimbabwe,Bulawayo,Jason Moyo
NED,AVONDALE,18107,Zimbabwe,Harare,AVONDALE
NED,Southerton2,18104,Zimbabwe,Harare,
NED,Southerton,18106,Zimbabwe,Harare,
NED,Belmont,18302,ZIMBABWE,Bulawayo,
NED,Jason Moyo,18101,ZIMBABWE,Harare,
NMB,Kwekwe,11525,Zimbabwe,Kwekwe,Kwekwe
NMB,Joina City,11109,ZIMBABWE,Harare,
NMB,Borrowdale,11106,ZIMBABWE,Harare,
NMB,Bulawayo,11311,ZIMBABWE,Bulawayo,
NMB,Eastgate,11104,ZIMBABWE,Harare,
NMB,Msasa,11107,ZIMBABWE,Harare,
NMB,Gweru,11530,ZIMBABWE,Gweru,
NMB,Angwa City,11102,ZIMBABWE,Harare,
NMB,Unity Court,11101,ZIMBABWE,Harare,
NMB,Card Centre,11105,ZIMBABWE,Harare,
NMB,Southerton,11108,ZIMBABWE,Harare,
NMB,Mutare,11521,ZIMBABWE,Mutare,
NMB,Avondale,11110,ZIMBABWE,Harare,"PaSangano, 20 King George Road, Avondale"
NMB,Chinhoyi,11527,Zimbabwe,Chinhoyi,Chinhoyi
NMB,NMB,11103,Zimbabwe,Harare,NMB
POSB,Harare,25000,ZIMBABWE,HARARE,
RBZ,RESERVE BANK OF ZIMBABWE,1101,ZIMBABWE,HARARE,RESERVE BANK OF ZIMBABWE
ROY,Takura House,16101,ZIMBABWE,Harare,67 Kwame Nkrumah Avenue
ROY,Ascot,16301,ZIMBABWE,Bulawayo,Shop 7 Ascot Centre
ROY,Lobengula Mall,16302,ZIMBABWE,Bulawayo,Shop 9 & 10 Lonbengula Mall
ROY,Gwanda,16509,ZIMBABWE,Gwanda,6-4th Street
ROY,Hwange,16508,ZIMBABWE,Hwange,Coronation Drive
ROY,Karoi,16507,ZIMBABWE,Karoi,9 Harris Road
ROY,Kadoma,16506,ZIMBABWE,Kadoma,Cnr Mukwati/H Chitepo Street
ROY,Chegutu,16505,ZIMBABWE,Chegutu,116 Queen Street
ROY,Nyanga,16504,ZIMBABWE,Nyanga,Stand 18 Rochdale Road
ROY,Rusape,16502,ZIMBABWE,Rusape,Cnr H Chitepo/R Mugabe
ROY,Chipinge,16501,ZIMBABWE,Chipinge,75 Main Street
ROY,Kwekwe,16510,ZIMBABWE,Kwekwe,"35 Nelson Mandela Way, Corner 3rd Street"
ROY,Marondera,16511,ZIMBABWE,Marondera,"253 Shop 2, The Green"
STBC,Beitbridge,3501,Zimbabwe,Beitbridge,
STBC,Hwange,3517,Zimbabwe,Hwange,
STBC,MINERVA PRIVATE BANKING,3126,ZIMBABWE,Harare,MINERVA PRIVATE BANKING
STBC,BORROWDALE PRIVATE BANKING,3127,ZIMBABWE,Harare,BORROWDALE PRIVATE BANKING
STBC,BRADFIELD PRIVATE BANKING,3328,ZIMBABWE,Bulawayo,BRADFIELD PRIVATE BANKING
STBC,Victoria Falls,3512,ZIMBABWE,Victoria Falls,
STBC,Ngezi,3516,ZIMBABWE,Ngezi,
STBC,Nelson Mandela Avenue,3101,ZIMBABWE,Harare,
STBC,Belmont,3303,ZIMBABWE,Bulawayo,
STBC,Main Street,3302,ZIMBABWE,Bulawayo,
